Artist,Album,Genre,Released,Cover Url,Track Number,Track,Duration
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,1,A To Z,01:32
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,2,Heartbreaker Part 2,03:31
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,3,For A While,04:52
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,4,Heartbreaker,03:41
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,5,I Loved You (Interlude),00:35
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,6,Hard And Strong,04:05
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,7,To Dust,03:11
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,8,I Loved You,03:58
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,9,Twin Peaks,04:31
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,10,Heartbreaker (Interlude),01:17
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,11,Let Go (Breakdown),03:15
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,12,Drinking Song (Interlude),02:02
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,13,Citizens,02:45
Alice Russell,To Dust,Soul,2013,https://www.theaudiodb.com/images/media/album/thumb/to-dust-536d429bc98b2.jpg,14,Different,05:21
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,1,Rehab,03:34
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,2,You Know I'm No Good,04:17
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,3,Me & Mr Jones,02:33
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,4,Just Friends,03:13
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,5,Back To Black,04:01
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,6,Love Is A Losing Game,02:35
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,7,Tears Dry On Their Own,03:06
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,8,Wake Up Alone,03:42
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,9,Some Unholy War,02:22
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,10,He Can Only Hold Her,02:48
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,11,Rehab (Hot Chip Vocal),06:58
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,12,You Know I'm No Good (Uk Version),03:23
Amy Winehouse,Back To Black,Soul,2006,https://www.theaudiodb.com/images/media/album/thumb/tpyrvu1521233260.jpg,13,Back To Black (The Rumble Strips Remix),03:49
Art Tatum,Art!,Jazz,1946,,1,Gang Onotes,00:00
Art Tatum,Art!,Jazz,1946,,2,52Nd St. Blues,00:00
Art Tatum,Art!,Jazz,1946,,3,Just Before Dawn,00:00
Art Tatum,Art!,Jazz,1946,,4,Crystal Clear,00:00
Art Tatum,Art!,Jazz,1946,,5,A Midnight Melody,00:00
Art Tatum,Art!,Jazz,1946,,6,Apollo Boogie,00:00
Art Tatum,Art!,Jazz,1946,,7,Too Sharp For This Flat,00:00
Art Tatum,Art!,Jazz,1946,,8,This And That,00:00
Art Tatum,Art!,Jazz,1946,,9,Between Midnight & Dawn,00:00
Art Tatum,Art!,Jazz,1946,,10,Playing In Riddles,00:00
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,1,Blue Skies,03:30
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,2,Rosetta,02:39
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,3,One O'clock Jump,03:15
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,4,I've Found A New Baby,02:09
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,5,Sometimes I'm Happy,03:38
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,6,Sing Sing Sing,08:46
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,7,The Glory Of Love,02:38
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,8,Let's Dance,02:56
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,9,Don't Be That Way,03:20
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,10,Stompin' At The Savoy,03:16
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,11,Bugle Call Rag,03:02
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,12,St. Louis Blues,05:02
Benny Goodman,The Golden Hits Of Benny Goodman,Jazz,2020,,13,Moonglow,03:25
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,1,Sabbath Bloody Sabbath,05:45
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,2,A National Acrobat,06:13
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,3,Fluff,04:08
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,4,Sabbra Cadabra,05:57
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,5,Killing Yourself To Live,05:41
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,6,Who Are You?,04:10
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,7,Looking For Today,05:01
Black Sabbath,Sabbath Bloody Sabbath,Heavy Metal,1973,https://www.theaudiodb.com/images/media/album/thumb/sabbath-bloody-sabbath-4dcdca70befd5.jpg,8,Spiral Architect,05:31
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,1,Highway Star,06:47
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,1,Strange Kind Of Woman,09:30
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,2,Child In Time,12:19
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,2,Lazy,10:39
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,3,Smoke On The Water,07:27
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,3,Space Truckin',19:50
Deep Purple,Made In Japan,Hard Rock,1972,https://www.theaudiodb.com/images/media/album/thumb/made-in-japan-4f6daf15de315.jpg,4,The Mule,09:43
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,1,Women,05:42
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,2,Rocket,06:35
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,3,Animal,04:04
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,4,Love Bites,05:47
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,5,Pour Some Sugar On Me,04:27
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,6,Armageddon It,05:23
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,7,Gods Of War,06:37
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,8,Don't Shoot Shotgun,04:26
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,9,Run Riot,04:39
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,10,Hysteria,05:54
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,11,Excitable,04:19
Def Leppard,Hysteria,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/hysteria-4e6645436c17b.jpg,12,Love And Affection,04:34
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,1,S'wonderful,04:26
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,2,Peel Me A Grape,05:49
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,3,Pick Yourself Up,03:01
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,4,Frim Fram Sauce,05:00
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,5,You Go To My Head,06:46
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,6,Let's Fall In Love,04:18
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,7,The Look Of Love,04:41
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,8,East Of The Sun (And West Of The Moon),05:45
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,9,I've Got You Under My Skin,06:08
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,10,All Or Nothing At All,04:32
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,11,Only The Lonely,04:16
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,12,Let's Face The Music And Dance,05:17
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,13,The Heart Of Saturday Night,04:05
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,14,Little Girl Blue,05:38
Diana Krall,The Very Best Of Diana Krall,Jazz,2007,https://www.theaudiodb.com/images/media/album/thumb/the-very-best-of-diana-krall-4fef0cba4932b.jpg,15,Fly Me To The Moon,05:43
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,1,But Beautiful,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,2,That's All / Azure-Te,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,3,Autumn In New York,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,4,Almost Like Being In Love,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,5,More Than You Know,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,6,Just You Just Me,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,7,There's No You,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,8,Don't Smoke In Bed,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,9,This Dream Of You,00:00
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,10,I Wished On The Moon,02:38
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,11,How Deep Is The Ocean,05:18
Diana Krall,This Dream Of You,Jazz,2020,https://www.theaudiodb.com/images/media/album/thumb/vn4nb71601063587.jpg,12,Singing In The Rain,00:00
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,1,So Far Away,05:11
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,2,Money for Nothing,08:26
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,3,Walk of Life,04:12
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,4,Your Latest Trick,06:33
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,5,Why Worry,08:31
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,6,Ride Across the River,06:58
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,7,The Man's Too Strong,04:40
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,8,One World,03:40
Dire Straits,Brothers in Arms,Rock,1985,https://www.theaudiodb.com/images/media/album/thumb/rwgien1642550266.jpg,9,Brothers in Arms,07:00
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,1,Dizzy's Business,03:38
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,2,A Night In Tunisia,05:36
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,3,Jessica's Day,04:52
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,4,Tour De Force,05:05
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,5,I Can't Get Started,02:57
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,6,Stella By Starlight,03:57
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,7,Doodlin',04:09
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,8,The Champ,04:44
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,9,My Reverie,02:54
Dizzy Gillespie,World Statesman,Jazz,1956,https://www.theaudiodb.com/images/media/album/thumb/ursxur1414764236.jpg,10,Dizzy's Blues,02:31
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,1,Let The Night Fall,04:21
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,2,Body 2 Body,03:17
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,3,Lonely Heart,03:36
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,4,Royal Blues,04:00
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,5,Sweet Poison,03:28
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,6,Secret Stash,03:43
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,7,Save My Neck,03:07
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,8,Darth Vader,04:22
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,9,High Five,02:37
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,10,Detonate,04:20
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,11,Love Can't Touch Me Now,03:38
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,12,Lost Teenagers,03:57
Dragonette,Royal Blues,Dance,2016,https://www.theaudiodb.com/images/media/album/thumb/vyqusq1513690656.jpg,13,Future Ghost,03:36
Duke Ellington,Ellington Indigoes,Jazz,1958,,1,Solitude,04:43
Duke Ellington,Ellington Indigoes,Jazz,1958,,2,Where Or When,04:02
Duke Ellington,Ellington Indigoes,Jazz,1958,,3,Mood Indigo,03:07
Duke Ellington,Ellington Indigoes,Jazz,1958,,4,Autumn Leaves,07:10
Duke Ellington,Ellington Indigoes,Jazz,1958,,5,Prelude To A Kiss,04:44
Duke Ellington,Ellington Indigoes,Jazz,1958,,6,Willow Weep For Me,04:15
Duke Ellington,Ellington Indigoes,Jazz,1958,,7,Tenderly,05:23
Duke Ellington,Ellington Indigoes,Jazz,1958,,8,Dancing In The Dark,04:28
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,1,Second Hand News,02:54
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,2,Dreams,04:18
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,3,Never Going Back Again,02:15
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,4,Don't Stop,03:14
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,5,Go Your Own Way,03:40
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,6,Songbird,03:23
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,7,The Chain,04:31
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,8,You Make Loving Fun,03:33
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,9,I Don't Want To Know,03:15
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,10,Oh Daddy,03:58
Fleetwood Mac,Rumours,Rock,1977,https://www.theaudiodb.com/images/media/album/thumb/rumours-4ed214d1317cf.jpg,11,Gold Dust Woman,05:02
Fleetwood Mac,Tango In The Night,Rock,1987,https://www.theaudiodb.com/images/media/album/thumb/rvsusq1514115026.jpg,1,Big Love,03:42
